descriptor,n_outlier_compounds,prop_outlier_compounds
SCH-7,16,0.008105369807497468
ATSm5,16,0.008105369807497468
WTPT-3,16,0.008105369807497468
VCH-6,16,0.008105369807497468
TopoPSA,15,0.007598784194528876
nN,15,0.007598784194528876
ndssC,15,0.007598784194528876
nHBAcc2,15,0.007598784194528876
SPC-4,15,0.007598784194528876
Kier3,15,0.007598784194528876
WTPT-5,15,0.007598784194528876
ETA_Shape_P,14,0.0070921985815602835
ETA_Epsilon_5,14,0.0070921985815602835
MDEC-12,14,0.0070921985815602835
ETA_EtaP,13,0.006585612968591692
ETA_Epsilon_4,13,0.006585612968591692
SsCH3,13,0.006585612968591692
sumI,13,0.006585612968591692
ALogP,13,0.006585612968591692
SPC-5,13,0.006585612968591692
nO,13,0.006585612968591692
nHCsats,12,0.0060790273556231
ETA_dEpsilon_C,12,0.0060790273556231
ETA_BetaP_ns_d,12,0.0060790273556231
nHBAcc_Lipinski,12,0.0060790273556231
nHBa,12,0.0060790273556231
VP-6,12,0.0060790273556231
ETA_dBetaP,11,0.005572441742654508
ATSc1,11,0.005572441742654508
nBondsD2,11,0.005572441742654508
Kier2,10,0.005065856129685917
MLFER_S,10,0.005065856129685917
MLFER_BO,9,0.004559270516717325
ETA_Eta_R,9,0.004559270516717325
ETA_Eta,9,0.004559270516717325
MLFER_BH,9,0.004559270516717325
Kier1,9,0.004559270516717325
SdO,9,0.004559270516717325
SP-0,9,0.004559270516717325
C1SP2,9,0.004559270516717325
SP-2,8,0.004052684903748734
VABC,8,0.004052684903748734
nBondsS3,8,0.004052684903748734
nBondsS2,8,0.004052684903748734
ETA_Eta_F,8,0.004052684903748734
nBondsS,8,0.004052684903748734
ETA_Eta_L,8,0.004052684903748734
nBonds2,8,0.004052684903748734
VP-0,8,0.004052684903748734
VP-2,8,0.004052684903748734
SHBd,8,0.004052684903748734
MW,8,0.004052684903748734
bpol,8,0.004052684903748734
ATSm2,8,0.004052684903748734
MLFER_A,8,0.004052684903748734
nH,8,0.004052684903748734
nsCH3,8,0.004052684903748734
MLFER_L,8,0.004052684903748734
nAtomLAC,8,0.004052684903748734
nHBd,8,0.004052684903748734
WTPT-4,8,0.004052684903748734
McGowan_Volume,8,0.004052684903748734
ATSm3,8,0.004052684903748734
nAtom,8,0.004052684903748734
nHeavyAtom,7,0.0035460992907801418
ETA_Beta_s,7,0.0035460992907801418
MLFER_E,7,0.0035460992907801418
WTPT-1,7,0.0035460992907801418
nHBDon_Lipinski,7,0.0035460992907801418
WPOL,7,0.0035460992907801418
ATSm4,7,0.0035460992907801418
ETA_Eta_R_L,7,0.0035460992907801418
nBonds,7,0.0035460992907801418
SCH-6,7,0.0035460992907801418
apol,7,0.0035460992907801418
nHBDon,7,0.0035460992907801418
HybRatio,7,0.0035460992907801418
ndO,7,0.0035460992907801418
ETA_Alpha,7,0.0035460992907801418
SPC-6,7,0.0035460992907801418
SHCsats,7,0.0035460992907801418
CrippenMR,7,0.0035460992907801418
VP-1,7,0.0035460992907801418
SP-1,7,0.0035460992907801418
Zagreb,7,0.0035460992907801418
ETA_dEpsilon_A,6,0.00303951367781155
ETA_Epsilon_1,6,0.00303951367781155
ATSp5,6,0.00303951367781155
ATSp1,6,0.00303951367781155
ATSp2,6,0.00303951367781155
SP-3,6,0.00303951367781155
AMR,6,0.00303951367781155
ETA_Psi_1,6,0.00303951367781155
ETA_Shape_Y,5,0.0025329280648429585
nC,5,0.0025329280648429585
ETA_dAlpha_B,5,0.0025329280648429585
minssCH2,5,0.0025329280648429585
ETA_dPsi_A,4,0.002026342451874367
nssCH2,4,0.002026342451874367
ETA_Epsilon_2,4,0.002026342451874367
MDEC-33,4,0.002026342451874367
ETA_BetaP_s,3,0.001519756838905775
C1SP3,3,0.001519756838905775
ETA_EtaP_B,3,0.001519756838905775
ATSp4,2,0.0010131712259371835
ETA_EtaP_B_RC,2,0.0010131712259371835
SCH-5,2,0.0010131712259371835
minHBa,2,0.0010131712259371835
nHother,2,0.0010131712259371835
gmax,2,0.0010131712259371835
LipoaffinityIndex,2,0.0010131712259371835
ETA_Beta,2,0.0010131712259371835
nwHBa,1,0.0005065856129685917
SwHBa,1,0.0005065856129685917
ETA_dEpsilon_B,1,0.0005065856129685917
VP-5,1,0.0005065856129685917
SsOH,1,0.0005065856129685917
VP-4,1,0.0005065856129685917
SaasC,1,0.0005065856129685917
VAdjMat,1,0.0005065856129685917
minHCsats,1,0.0005065856129685917
VP-3,1,0.0005065856129685917
SP-6,1,0.0005065856129685917
ATSp3,1,0.0005065856129685917
ETA_Beta_ns_d,1,0.0005065856129685917
ETA_Eta_F_L,1,0.0005065856129685917
SP-4,1,0.0005065856129685917
C3SP2,1,0.0005065856129685917
SP-7,1,0.0005065856129685917
SP-5,1,0.0005065856129685917
naaCH,0,0.0
nBondsM,0,0.0
nT5Ring,0,0.0
nT6Ring,0,0.0
nT10Ring,0,0.0
SaaCH,0,0.0
MAXDP,0,0.0
maxHCsats,0,0.0
nssO,0,0.0
n6Ring,0,0.0
SHother,0,0.0
SHaaCH,0,0.0
nAromBond,0,0.0
SHsOH,0,0.0
naAromAtom,0,0.0
C2SP2,0,0.0
nsOH,0,0.0
MAXDP2,0,0.0
nF10Ring,0,0.0
hmin,0,0.0
n5Ring,0,0.0
nRing,0,0.0
BCUTw-1l,0,0.0
BCUTc-1h,0,0.0
BCUTp-1h,0,0.0
maxsCH3,0,0.0
mindO,0,0.0
nAtomP,0,0.0
maxssCH2,0,0.0
MLogP,0,0.0
minsCH3,0,0.0
MDEC-22,0,0.0
MDEC-23,0,0.0
maxdO,0,0.0
nHsOH,0,0.0
nHaaCH,0,0.0
maxssO,0,0.0
SssO,0,0.0
PetitjeanNumber,0,0.0
minssO,0,0.0
