descriptor,variance,std,range,n_unique_values,unique_value_ratio,dominant_value,dominant_value_ratio,is_constant,dominant_value_ge_90pct,dominant_value_ge_95pct,unique_ratio_le_1pct,is_near_constant,descriptor_numeric_type,is_integer_like,is_binary_like,is_low_cardinality,is_continuous_like,is_rare_binary_like
nsssPbH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
nssssPb,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SHsNH3p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SHssNH2p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SHsssNHp,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SHmisc,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsLi,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssBe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssssBem,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsBH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssBH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssB,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssssBm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SddC,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsNH3p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssNH2p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssNHp,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SddsN,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SaOm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsSiH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssSiH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssSiH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssssSi,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsPH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssPH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SddsP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssssP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssssssS,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SSm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsGeH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssGeH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssGeH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssssGe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsAsH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssAsH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SdsssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SddsAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsSeH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SdSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SaaSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SdssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssssssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SddssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsSnH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssSnH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssSnH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssssSn,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsPbH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssPbH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SsssPbH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
SssssPb,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minHsNH3p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minHssNH2p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minHsssNHp,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minHmisc,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsLi,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssBe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssssBem,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsBH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssBH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssB,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssssBm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minddC,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsNH3p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssNH2p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssNHp,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minddsN,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minaOm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsSiH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssSiH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssSiH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssssSi,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsPH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssPH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minddsP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssssP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssssssS,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minSm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsGeH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssGeH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssGeH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssssGe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsAsH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssAsH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
mindsssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minddsAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsSeH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
mindSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minaaSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
mindssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssssssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minddssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsSnH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssSnH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssSnH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssssSn,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsPbH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssPbH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minsssPbH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
minssssPb,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxHsNH3p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxHssNH2p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxHsssNHp,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxHmisc,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsLi,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssBe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssssBem,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsBH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssBH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsssB,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssssBm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxddC,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsNH3p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssNH2p,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsssNHp,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxddsN,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxaOm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsSiH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssSiH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsssSiH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssssSi,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsPH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssPH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsssP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxdsssP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxddsP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsssssP,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssS,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxaaS,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxdssS,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxddssS,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssssssS,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxSm,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsGeH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssGeH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsssGeH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssssGe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsAsH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssAsH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxdsssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxddsAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsssssAs,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsSeH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxdSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxaaSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxdssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssssssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxddssSe,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsSnH3,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssSnH2,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsssSnH,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxssssSn,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
maxsI,0.0,0.0,0.0,1,0.0005065856129685917,0.0,1.0,True,True,True,True,False,binary_like,True,True,True,False,False
