descriptor,descriptor_category,descriptor_category_source,is_constant,is_near_constant,dominant_value_ratio,descriptor_numeric_type,is_integer_like,is_binary_like,is_low_cardinality,is_continuous_like
ATSc2,Autocorrelation (charge),Summary.Descriptor type,False,False,0.0035460992907801418,continuous_float_like,False,False,False,True
ATSc3,Autocorrelation (charge),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
ATSc4,Autocorrelation (charge),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
ATSc5,Autocorrelation (charge),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
ATSm1,Autocorrelation (mass),Summary.Descriptor type,False,False,0.015197568389057751,continuous_float_like,False,False,False,True
ATSm2,Autocorrelation (mass),Summary.Descriptor type,False,False,0.01165146909827761,continuous_float_like,False,False,False,True
ATSm3,Autocorrelation (mass),Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True
ATSm4,Autocorrelation (mass),Summary.Descriptor type,False,False,0.005065856129685917,continuous_float_like,False,False,False,True
ATSm5,Autocorrelation (mass),Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True
ATSp1,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
ATSp2,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
ATSp3,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
ATSp4,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
ATSp5,Autocorrelation (polarizability),Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
nBase,Basic group count,Summary.Descriptor type,False,True,0.6621073961499493,integer_low_cardinality,True,False,True,False
BCUTw-1l,BCUT,Summary.Descriptor type,False,False,0.25379939209726443,continuous_float_like,False,False,False,True
BCUTw-1h,BCUT,Summary.Descriptor type,False,False,0.014690982776089158,continuous_float_like,False,False,False,True
BCUTc-1l,BCUT,Summary.Descriptor type,False,False,0.006585612968591692,continuous_float_like,False,False,False,True
BCUTc-1h,BCUT,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
BCUTp-1l,BCUT,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
BCUTp-1h,BCUT,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
nBonds,Bond count,Summary.Descriptor type,False,False,0.06788247213779129,integer_count_like,True,False,False,False
nBonds2,Bond count,Summary.Descriptor type,False,False,0.04508611955420466,integer_count_like,True,False,False,False
nBondsS,Bond count,Summary.Descriptor type,False,False,0.05521783181357649,integer_count_like,True,False,False,False
nBondsS2,Bond count,Summary.Descriptor type,False,False,0.044072948328267476,integer_count_like,True,False,False,False
nBondsS3,Bond count,Summary.Descriptor type,False,False,0.06281661600810537,integer_count_like,True,False,False,False
nBondsD,Bond count,Summary.Descriptor type,False,True,0.171225937183384,integer_low_cardinality,True,False,True,False
nBondsD2,Bond count,Summary.Descriptor type,False,True,0.32016210739615,integer_low_cardinality,True,False,True,False
nBondsT,Bond count,Summary.Descriptor type,False,True,0.9483282674772037,integer_low_cardinality,True,False,True,False
nBondsQ,Bond count,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nBondsM,Bond count,Summary.Descriptor type,False,False,0.1752786220871327,integer_count_like,True,False,False,False
bpol,BPol,Summary.Descriptor type,False,False,0.013677811550151976,continuous_float_like,False,False,False,True
C1SP1,Carbon types,Summary.Descriptor type,False,True,0.9513677811550152,integer_low_cardinality,True,False,True,False
C2SP1,Carbon types,Summary.Descriptor type,False,True,0.9883485309017224,integer_low_cardinality,True,False,True,False
C1SP2,Carbon types,Summary.Descriptor type,False,True,0.4868287740628166,integer_low_cardinality,True,False,True,False
C2SP2,Carbon types,Summary.Descriptor type,False,False,0.14944275582573455,integer_count_like,True,False,False,False
C3SP2,Carbon types,Summary.Descriptor type,False,True,0.21681864235055726,integer_low_cardinality,True,False,True,False
C1SP3,Carbon types,Summary.Descriptor type,False,True,0.22036474164133737,integer_low_cardinality,True,False,True,False
C2SP3,Carbon types,Summary.Descriptor type,False,False,0.342451874366768,integer_count_like,True,False,False,False
C3SP3,Carbon types,Summary.Descriptor type,False,True,0.7639311043566362,integer_low_cardinality,True,False,True,False
C4SP3,Carbon types,Summary.Descriptor type,False,True,0.8632218844984803,integer_low_cardinality,True,False,True,False
SCH-3,Chi chain,Summary.Descriptor type,False,True,0.9934143870314083,continuous_float_like,False,False,True,True
SCH-4,Chi chain,Summary.Descriptor type,False,True,0.9842958459979737,continuous_float_like,False,False,True,True
SCH-5,Chi chain,Summary.Descriptor type,False,False,0.4265450861195542,continuous_float_like,False,False,False,True
SCH-6,Chi chain,Summary.Descriptor type,False,False,0.0243161094224924,continuous_float_like,False,False,False,True
SCH-7,Chi chain,Summary.Descriptor type,False,False,0.016210739614994935,continuous_float_like,False,False,False,True
VCH-3,Chi chain,Summary.Descriptor type,False,True,0.9934143870314083,continuous_float_like,False,False,True,True
VCH-4,Chi chain,Summary.Descriptor type,False,True,0.9842958459979737,continuous_float_like,False,False,True,True
VCH-5,Chi chain,Summary.Descriptor type,False,False,0.4265450861195542,continuous_float_like,False,False,False,True
VCH-6,Chi chain,Summary.Descriptor type,False,False,0.022289766970618033,continuous_float_like,False,False,False,True
VCH-7,Chi chain,Summary.Descriptor type,False,False,0.014690982776089158,continuous_float_like,False,False,False,True
SC-3,Chi cluster,Summary.Descriptor type,False,False,0.014184397163120567,continuous_float_like,False,False,False,True
SC-4,Chi cluster,Summary.Descriptor type,False,False,0.7223910840932117,continuous_float_like,False,False,False,True
SC-5,Chi cluster,Summary.Descriptor type,False,False,0.03546099290780142,continuous_float_like,False,False,False,True
SC-6,Chi cluster,Summary.Descriptor type,False,False,0.7477203647416414,continuous_float_like,False,False,False,True
VC-3,Chi cluster,Summary.Descriptor type,False,False,0.00911854103343465,continuous_float_like,False,False,False,True
VC-4,Chi cluster,Summary.Descriptor type,False,False,0.7223910840932117,continuous_float_like,False,False,False,True
VC-5,Chi cluster,Summary.Descriptor type,False,False,0.025329280648429583,continuous_float_like,False,False,False,True
VC-6,Chi cluster,Summary.Descriptor type,False,False,0.7477203647416414,continuous_float_like,False,False,False,True
SPC-4,Chi path cluster,Summary.Descriptor type,False,False,0.00911854103343465,continuous_float_like,False,False,False,True
SPC-5,Chi path cluster,Summary.Descriptor type,False,False,0.008105369807497468,continuous_float_like,False,False,False,True
SPC-6,Chi path cluster,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True
VPC-4,Chi path cluster,Summary.Descriptor type,False,False,0.0070921985815602835,continuous_float_like,False,False,False,True
VPC-5,Chi path cluster,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True
VPC-6,Chi path cluster,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True
SP-0,Chi path,Summary.Descriptor type,False,False,0.02634245187436677,continuous_float_like,False,False,False,True
SP-1,Chi path,Summary.Descriptor type,False,False,0.01165146909827761,continuous_float_like,False,False,False,True
SP-2,Chi path,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True
SP-3,Chi path,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True
SP-4,Chi path,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True
SP-5,Chi path,Summary.Descriptor type,False,False,0.005065856129685917,continuous_float_like,False,False,False,True
SP-6,Chi path,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True
SP-7,Chi path,Summary.Descriptor type,False,False,0.005065856129685917,continuous_float_like,False,False,False,True
VP-0,Chi path,Summary.Descriptor type,False,False,0.0060790273556231,continuous_float_like,False,False,False,True
VP-1,Chi path,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True
VP-2,Chi path,Summary.Descriptor type,False,False,0.0035460992907801418,continuous_float_like,False,False,False,True
VP-3,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
VP-4,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
VP-5,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
VP-6,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
VP-7,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
CrippenLogP,Crippen logP and MR,Summary.Descriptor type,False,False,0.004052684903748734,continuous_float_like,False,False,False,True
CrippenMR,Crippen logP and MR,Summary.Descriptor type,False,False,0.004052684903748734,continuous_float_like,False,False,False,True
ECCEN,Eccentric connectivity index,Summary.Descriptor type,False,False,0.010638297872340425,integer_count_like,True,False,False,False
nHBd,Atom type electrotopological state,Summary.Descriptor type,False,True,0.47416413373860183,integer_low_cardinality,True,False,True,False
nwHBd,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9822695035460993,integer_low_cardinality,True,False,True,False
nHBa,Atom type electrotopological state,Summary.Descriptor type,False,True,0.19655521783181357,integer_low_cardinality,True,False,True,False
nwHBa,Atom type electrotopological state,Summary.Descriptor type,False,False,0.12360688956433637,integer_count_like,True,False,False,False
nHBint2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7826747720364742,integer_low_cardinality,True,False,True,False
nHBint3,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7938196555217831,integer_low_cardinality,True,False,True,False
nHBint4,Atom type electrotopological state,Summary.Descriptor type,False,True,0.5785207700101317,integer_low_cardinality,True,False,True,False
nHBint5,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6388044579533941,integer_low_cardinality,True,False,True,False
nHBint6,Atom type electrotopological state,Summary.Descriptor type,False,True,0.538500506585613,integer_low_cardinality,True,False,True,False
nHBint7,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6514690982776089,integer_low_cardinality,True,False,True,False
nHBint8,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7330293819655522,integer_low_cardinality,True,False,True,False
nHBint9,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7548125633232016,integer_low_cardinality,True,False,True,False
nHBint10,Atom type electrotopological state,Summary.Descriptor type,False,True,0.5015197568389058,integer_low_cardinality,True,False,True,False
nHsOH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.42907801418439717,integer_low_cardinality,True,False,True,False
nHdNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9924012158054711,integer_low_cardinality,True,False,True,False
nHsSH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9994934143870314,binary_like,True,True,True,False
nHsNH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9746707193515705,integer_low_cardinality,True,False,True,False
nHssNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8302938196555217,integer_low_cardinality,True,False,True,False
nHaaNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9275582573454914,integer_low_cardinality,True,False,True,False
nHsNH3p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nHssNH2p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nHsssNHp,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nHtCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9913880445795339,binary_like,True,True,True,False
nHdCH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9766970618034447,binary_like,True,True,True,False
nHdsCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7781155015197568,integer_low_cardinality,True,False,True,False
nHaaCH,Atom type electrotopological state,Summary.Descriptor type,False,False,0.20516717325227962,integer_count_like,True,False,False,False
nHCHnX,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9802431610942249,integer_low_cardinality,True,False,True,False
nHCsats,Atom type electrotopological state,Summary.Descriptor type,False,False,0.30749746707193515,integer_count_like,True,False,False,False
nHCsatu,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6170212765957447,integer_low_cardinality,True,False,True,False
nHAvin,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8449848024316109,integer_low_cardinality,True,False,True,False
nHother,Atom type electrotopological state,Summary.Descriptor type,False,False,0.16666666666666666,integer_count_like,True,False,False,False
nHmisc,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsLi,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssBe,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssssBem,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsBH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssBH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsssB,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssssBm,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsCH3,Atom type electrotopological state,Summary.Descriptor type,False,True,0.36423505572441744,integer_low_cardinality,True,False,True,False
ndCH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9766970618034447,binary_like,True,True,True,False
nssCH2,Atom type electrotopological state,Summary.Descriptor type,False,False,0.2548125633232016,integer_count_like,True,False,False,False
ntCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9913880445795339,binary_like,True,True,True,False
ndsCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7781155015197568,integer_low_cardinality,True,False,True,False
naaCH,Atom type electrotopological state,Summary.Descriptor type,False,False,0.20516717325227962,integer_count_like,True,False,False,False
nsssCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6063829787234043,integer_low_cardinality,True,False,True,False
nddC,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
ntsC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9483282674772037,integer_low_cardinality,True,False,True,False
ndssC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.38247213779128675,integer_low_cardinality,True,False,True,False
naasC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.24113475177304963,integer_low_cardinality,True,False,True,False
naaaC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6448834853090172,integer_low_cardinality,True,False,True,False
nssssC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.779128672745694,integer_low_cardinality,True,False,True,False
nsNH3p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsNH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9746707193515705,integer_low_cardinality,True,False,True,False
nssNH2p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
ndNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9924012158054711,integer_low_cardinality,True,False,True,False
nssNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8302938196555217,integer_low_cardinality,True,False,True,False
naaNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9275582573454914,integer_low_cardinality,True,False,True,False
ntN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9599797365754813,integer_low_cardinality,True,False,True,False
nsssNHp,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
ndsN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9371833839918946,integer_low_cardinality,True,False,True,False
naaN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7583586626139818,integer_low_cardinality,True,False,True,False
nsssN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.5536980749746707,integer_low_cardinality,True,False,True,False
nddsN,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
naasN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.903242147922999,integer_low_cardinality,True,False,True,False
nssssNp,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9994934143870314,binary_like,True,True,True,False
nsOH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.42907801418439717,integer_low_cardinality,True,False,True,False
ndO,Atom type electrotopological state,Summary.Descriptor type,False,True,0.46808510638297873,integer_low_cardinality,True,False,True,False
nssO,Atom type electrotopological state,Summary.Descriptor type,False,True,0.47315096251266464,integer_low_cardinality,True,False,True,False
naaO,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8556231003039514,integer_low_cardinality,True,False,True,False
naOm,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsOm,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9908814589665653,integer_low_cardinality,True,False,True,False
nsF,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8348530901722391,integer_low_cardinality,True,False,True,False
nsSiH3,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssSiH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsssSiH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssssSi,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsPH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssPH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsssP,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
ndsssP,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9989868287740629,binary_like,True,True,True,False
nddsP,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsssssP,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsSH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9994934143870314,binary_like,True,True,True,False
ndS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9832826747720365,binary_like,True,True,True,False
nssS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8880445795339412,integer_low_cardinality,True,False,True,False
naaS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9052684903748733,integer_low_cardinality,True,False,True,False
ndssS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9994934143870314,binary_like,True,True,True,False
nddssS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9376899696048632,binary_like,True,True,True,False
nssssssS,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nSm,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsCl,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9123606889564336,integer_low_cardinality,True,False,True,False
nsGeH3,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssGeH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsssGeH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssssGe,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsAsH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssAsH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsssAs,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
ndsssAs,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nddsAs,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsssssAs,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsSeH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
ndSe,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssSe,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
naaSe,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
ndssSe,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssssssSe,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nddssSe,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsBr,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9417426545086119,integer_low_cardinality,True,False,True,False
nsSnH3,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssSnH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsssSnH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssssSn,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsI,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9979736575481256,integer_low_cardinality,True,False,True,False
nsPbH3,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssPbH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nsssPbH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
nssssPb,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
SHBd,Atom type electrotopological state,Summary.Descriptor type,False,False,0.06332320162107397,continuous_float_like,False,False,False,True
SwHBd,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9822695035460993,continuous_float_like,False,False,False,True
SHBa,Atom type electrotopological state,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
SwHBa,Atom type electrotopological state,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True
SHBint2,Atom type electrotopological state,Summary.Descriptor type,False,False,0.7826747720364742,continuous_float_like,False,False,False,True
SHBint3,Atom type electrotopological state,Summary.Descriptor type,False,False,0.7938196555217831,continuous_float_like,False,False,False,True
SHBint4,Atom type electrotopological state,Summary.Descriptor type,False,False,0.5785207700101317,continuous_float_like,False,False,False,True
SHBint5,Atom type electrotopological state,Summary.Descriptor type,False,False,0.6388044579533941,continuous_float_like,False,False,False,True
SHBint6,Atom type electrotopological state,Summary.Descriptor type,False,False,0.538500506585613,continuous_float_like,False,False,False,True
SHBint7,Atom type electrotopological state,Summary.Descriptor type,False,False,0.6514690982776089,continuous_float_like,False,False,False,True
SHBint8,Atom type electrotopological state,Summary.Descriptor type,False,False,0.7330293819655522,continuous_float_like,False,False,False,True
SHBint9,Atom type electrotopological state,Summary.Descriptor type,False,False,0.7548125633232016,continuous_float_like,False,False,False,True
SHBint10,Atom type electrotopological state,Summary.Descriptor type,False,False,0.5015197568389058,continuous_float_like,False,False,False,True
SHsOH,Atom type electrotopological state,Summary.Descriptor type,False,False,0.21580547112462006,continuous_float_like,False,False,False,True
SHdNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9924012158054711,continuous_float_like,False,False,True,True
SHsSH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9994934143870314,continuous_float_like,False,False,True,True
SHsNH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9746707193515705,continuous_float_like,False,False,False,True
SHssNH,Atom type electrotopological state,Summary.Descriptor type,False,False,0.8302938196555217,continuous_float_like,False,False,False,True
SHaaNH,Atom type electrotopological state,Summary.Descriptor type,False,False,0.9275582573454914,continuous_float_like,False,False,False,True
SHsNH3p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
SHssNH2p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
SHsssNHp,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
SHtCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9913880445795339,continuous_float_like,False,False,True,True
SHdCH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9766970618034447,continuous_float_like,False,False,False,True
SHdsCH,Atom type electrotopological state,Summary.Descriptor type,False,False,0.7781155015197568,continuous_float_like,False,False,False,True
SHaaCH,Atom type electrotopological state,Summary.Descriptor type,False,False,0.028875379939209727,continuous_float_like,False,False,False,True
SHCHnX,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9802431610942249,continuous_float_like,False,False,False,True
SHCsats,Atom type electrotopological state,Summary.Descriptor type,False,False,0.30749746707193515,continuous_float_like,False,False,False,True
SHCsatu,Atom type electrotopological state,Summary.Descriptor type,False,False,0.6170212765957447,continuous_float_like,False,False,False,True
SHAvin,Atom type electrotopological state,Summary.Descriptor type,False,False,0.8449848024316109,continuous_float_like,False,False,False,True
SHother,Atom type electrotopological state,Summary.Descriptor type,False,False,0.0060790273556231,continuous_float_like,False,False,False,True
SHmisc,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
SsLi,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False
