descriptor,descriptor_category,descriptor_numeric_type,candidate_super_block,is_constant,is_near_constant,is_rare_binary_like,dominant_value_ratio
minsNH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9746707193515703
maxHsNH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9746707193515703
maxsNH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9746707193515703
nF8Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9701114488348532
nF6Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9696048632218844
nT8Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9680851063829788
MDEN-12,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,True,False,0.9650455927051672
ntN,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9599797365754812
StN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9599797365754812
mintN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9599797365754812
maxtN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9599797365754812
maxsBr,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.9594731509625126
nF12Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9594731509625126
nT12Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.958966565349544
nF11Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9579533941236068
nT11Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9579533941236068
MDEC-44,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,True,False,0.9544072948328268
C1SP1,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9513677811550152
n7Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9493414387031408
nBondsT,Bond count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9483282674772036
ntsC,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9483282674772036
StsC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9483282674772036
mintsC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9483282674772036
maxtsC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9483282674772036
nT7Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9457953394123608
nBr,Atom count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.941742654508612
nsBr,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.941742654508612
SsBr,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.941742654508612
minsBr,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.941742654508612
nddssS,Atom type electrotopological state,binary_like,block_X_local_electronic_atom_environment,False,True,False,0.9376899696048632
SddssS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9376899696048632
minddssS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9376899696048632
ndsN,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9371833839918946
SdsN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9371833839918946
mindsN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9371833839918946
maxdsN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9371833839918946
nHaaNH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9275582573454914
naaNH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9275582573454914
SHaaNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9275582573454914
SaaNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9275582573454914
minHaaNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9275582573454914
minaaNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9275582573454914
maxHaaNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9275582573454914
maxaaNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9275582573454914
ETA_dAlpha_A,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9275582573454914
maxssssC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9199594731509624
nCl,Atom count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.9123606889564336
nsCl,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9123606889564336
SsCl,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9123606889564336
minsCl,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9123606889564336
maxsCl,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9123606889564336
naaS,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.9052684903748732
SaaS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9052684903748732
minaaS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.9052684903748732
naasN,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.903242147922999
SaasN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.903242147922999
minaasN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.903242147922999
maxaasN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.903242147922999
nssS,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.8880445795339412
C4SP3,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.8632218844984803
naaO,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.8556231003039514
nHAvin,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.8449848024316109
nF,Atom count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.8348530901722391
nsF,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.8348530901722391
nHssNH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.8302938196555217
nssNH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.8302938196555217
nHBint3,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.7938196555217831
nFG12Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.7836879432624113
nHBint2,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.7826747720364742
nTG12Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.7811550151975684
nssssC,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.779128672745694
nHdsCH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.7781155015197568
ndsCH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.7781155015197568
C3SP3,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.7639311043566362
naaN,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.7583586626139818
nHBint9,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.7548125633232016
nHBint8,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.7330293819655522
nS,Atom count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.7325227963525835
nX,Atom count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.7077001013171226
nHBint7,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.6514690982776089
naaaC,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.6448834853090172
nHBint5,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.6388044579533941
nHCsatu,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.6170212765957447
nsssCH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.6063829787234043
nF9Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.6058763931104356
nT9Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.6058763931104356
nHBint4,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.5785207700101317
nFRing,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.5668693009118541
nsssN,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.5536980749746707
nHBint6,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.538500506585613
nHBint10,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.5015197568389058
nF10Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.4989868287740628
nT10Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.4989868287740628
C1SP2,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.4868287740628166
nHBd,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.4741641337386018
nssO,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.4731509625126646
ndO,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.4680851063829787
n5Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.4356636271529888
nT5Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.4356636271529888
nHsOH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.4290780141843971
nsOH,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.4290780141843971
ndssC,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.3824721377912867
nN,Atom count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.3799392097264438
n6Ring,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.3703140830800405
nsCH3,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.3642350557244174
nT6Ring,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.3632218844984802
ETA_Beta_ns_d,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,True,False,0.3206686930091185
nBondsD2,Bond count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.32016210739615
nRing,Ring count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.3115501519756838
nO,Atom count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.2953394123606889
nTRing,RingCountDescriptor,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.2487335359675785
naasC,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.2411347517730496
C1SP3,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.2203647416413373
C3SP2,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.2168186423505572
nHBa,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,False,True,False,0.1965552178318135
nBondsD,Bond count,integer_low_cardinality,block_Y_topological_connectivity_structure,False,True,False,0.171225937183384
SssS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8880445795339412
minssS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8880445795339412
MDEN-33,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.8708206686930091
SaaO,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8556231003039514
minaaO,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8556231003039514
maxaaO,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8556231003039514
SHAvin,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8449848024316109
minHAvin,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8449848024316109
maxHAvin,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8449848024316109
SsF,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8348530901722391
minsF,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8348530901722391
maxsF,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8348530901722391
SHssNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8302938196555217
SssNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8302938196555217
minHssNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8302938196555217
minssNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8302938196555217
maxHssNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8302938196555217
maxssNH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8302938196555217
MDEN-23,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.8247213779128673
MDEN-22,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.8196555217831814
MDEC-14,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.8115501519756839
maxHBint3,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.8095238095238095
SHBint3,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7938196555217831
minHBint3,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7938196555217831
maxHBint2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7847011144883486
SHBint2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7826747720364742
minHBint2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7826747720364742
SssssC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.779128672745694
minssssC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.779128672745694
MDEC-24,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.779128672745694
MDEC-34,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.779128672745694
SHdsCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7781155015197568
SdsCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7781155015197568
minHdsCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7781155015197568
mindsCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7781155015197568
maxHdsCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7781155015197568
maxdsCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7781155015197568
SaaN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7583586626139818
minaaN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7583586626139818
maxaaN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7583586626139818
maxHBint9,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7563323201621074
SHBint9,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7548125633232016
minHBint9,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7548125633232016
SC-6,Chi cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.7477203647416414
VC-6,Chi cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.7477203647416414
maxsssCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7416413373860182
maxHBint8,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7406281661600811
SHBint8,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7330293819655522
minHBint8,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7330293819655522
SC-4,Chi cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.7223910840932117
VC-4,Chi cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.7223910840932117
ETA_Shape_X,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.7223910840932117
