descriptor,descriptor_category,descriptor_category_source,is_constant,is_near_constant,dominant_value_ratio,descriptor_numeric_type,is_integer_like,is_binary_like,is_low_cardinality,is_continuous_like,candidate_super_block
nBondsM,Bond count,Summary.Descriptor type,False,False,0.1752786220871327,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
bpol,BPol,Summary.Descriptor type,False,False,0.013677811550151976,continuous_float_like,False,False,False,True,not_assigned
C1SP1,Carbon types,Summary.Descriptor type,False,True,0.9513677811550152,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
C2SP1,Carbon types,Summary.Descriptor type,False,True,0.9883485309017224,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
C1SP2,Carbon types,Summary.Descriptor type,False,True,0.4868287740628166,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
C2SP2,Carbon types,Summary.Descriptor type,False,False,0.14944275582573455,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
C3SP2,Carbon types,Summary.Descriptor type,False,True,0.21681864235055726,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
C1SP3,Carbon types,Summary.Descriptor type,False,True,0.22036474164133737,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
C2SP3,Carbon types,Summary.Descriptor type,False,False,0.342451874366768,integer_count_like,True,False,False,False,block_Y_topological_connectivity_structure
C3SP3,Carbon types,Summary.Descriptor type,False,True,0.7639311043566362,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
C4SP3,Carbon types,Summary.Descriptor type,False,True,0.8632218844984803,integer_low_cardinality,True,False,True,False,block_Y_topological_connectivity_structure
SCH-3,Chi chain,Summary.Descriptor type,False,True,0.9934143870314083,continuous_float_like,False,False,True,True,block_Y_topological_connectivity_structure
SCH-4,Chi chain,Summary.Descriptor type,False,True,0.9842958459979737,continuous_float_like,False,False,True,True,block_Y_topological_connectivity_structure
SCH-5,Chi chain,Summary.Descriptor type,False,False,0.4265450861195542,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SCH-6,Chi chain,Summary.Descriptor type,False,False,0.0243161094224924,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SCH-7,Chi chain,Summary.Descriptor type,False,False,0.016210739614994935,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VCH-3,Chi chain,Summary.Descriptor type,False,True,0.9934143870314083,continuous_float_like,False,False,True,True,block_Y_topological_connectivity_structure
VCH-4,Chi chain,Summary.Descriptor type,False,True,0.9842958459979737,continuous_float_like,False,False,True,True,block_Y_topological_connectivity_structure
VCH-5,Chi chain,Summary.Descriptor type,False,False,0.4265450861195542,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VCH-6,Chi chain,Summary.Descriptor type,False,False,0.022289766970618033,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VCH-7,Chi chain,Summary.Descriptor type,False,False,0.014690982776089158,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SC-3,Chi cluster,Summary.Descriptor type,False,False,0.014184397163120567,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SC-4,Chi cluster,Summary.Descriptor type,False,False,0.7223910840932117,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SC-5,Chi cluster,Summary.Descriptor type,False,False,0.03546099290780142,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SC-6,Chi cluster,Summary.Descriptor type,False,False,0.7477203647416414,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VC-3,Chi cluster,Summary.Descriptor type,False,False,0.00911854103343465,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VC-4,Chi cluster,Summary.Descriptor type,False,False,0.7223910840932117,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VC-5,Chi cluster,Summary.Descriptor type,False,False,0.025329280648429583,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VC-6,Chi cluster,Summary.Descriptor type,False,False,0.7477203647416414,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SPC-4,Chi path cluster,Summary.Descriptor type,False,False,0.00911854103343465,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SPC-5,Chi path cluster,Summary.Descriptor type,False,False,0.008105369807497468,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SPC-6,Chi path cluster,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VPC-4,Chi path cluster,Summary.Descriptor type,False,False,0.0070921985815602835,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VPC-5,Chi path cluster,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VPC-6,Chi path cluster,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SP-0,Chi path,Summary.Descriptor type,False,False,0.02634245187436677,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SP-1,Chi path,Summary.Descriptor type,False,False,0.01165146909827761,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SP-2,Chi path,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SP-3,Chi path,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SP-4,Chi path,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SP-5,Chi path,Summary.Descriptor type,False,False,0.005065856129685917,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SP-6,Chi path,Summary.Descriptor type,False,False,0.005572441742654508,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
SP-7,Chi path,Summary.Descriptor type,False,False,0.005065856129685917,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VP-0,Chi path,Summary.Descriptor type,False,False,0.0060790273556231,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VP-1,Chi path,Summary.Descriptor type,False,False,0.004559270516717325,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VP-2,Chi path,Summary.Descriptor type,False,False,0.0035460992907801418,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VP-3,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VP-4,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VP-5,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VP-6,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
VP-7,Chi path,Summary.Descriptor type,False,False,0.00303951367781155,continuous_float_like,False,False,False,True,block_Y_topological_connectivity_structure
CrippenLogP,Crippen logP and MR,Summary.Descriptor type,False,False,0.004052684903748734,continuous_float_like,False,False,False,True,not_assigned
CrippenMR,Crippen logP and MR,Summary.Descriptor type,False,False,0.004052684903748734,continuous_float_like,False,False,False,True,not_assigned
ECCEN,Eccentric connectivity index,Summary.Descriptor type,False,False,0.010638297872340425,integer_count_like,True,False,False,False,not_assigned
nHBd,Atom type electrotopological state,Summary.Descriptor type,False,True,0.47416413373860183,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nwHBd,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9822695035460993,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHBa,Atom type electrotopological state,Summary.Descriptor type,False,True,0.19655521783181357,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nwHBa,Atom type electrotopological state,Summary.Descriptor type,False,False,0.12360688956433637,integer_count_like,True,False,False,False,block_X_local_electronic_atom_environment
nHBint2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7826747720364742,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHBint3,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7938196555217831,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHBint4,Atom type electrotopological state,Summary.Descriptor type,False,True,0.5785207700101317,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHBint5,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6388044579533941,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHBint6,Atom type electrotopological state,Summary.Descriptor type,False,True,0.538500506585613,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHBint7,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6514690982776089,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHBint8,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7330293819655522,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHBint9,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7548125633232016,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHBint10,Atom type electrotopological state,Summary.Descriptor type,False,True,0.5015197568389058,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHsOH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.42907801418439717,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHdNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9924012158054711,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHsSH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9994934143870314,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nHsNH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9746707193515705,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHssNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8302938196555217,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHaaNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9275582573454914,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHsNH3p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nHssNH2p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nHsssNHp,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nHtCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9913880445795339,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nHdCH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9766970618034447,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nHdsCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7781155015197568,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHaaCH,Atom type electrotopological state,Summary.Descriptor type,False,False,0.20516717325227962,integer_count_like,True,False,False,False,block_X_local_electronic_atom_environment
nHCHnX,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9802431610942249,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHCsats,Atom type electrotopological state,Summary.Descriptor type,False,False,0.30749746707193515,integer_count_like,True,False,False,False,block_X_local_electronic_atom_environment
nHCsatu,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6170212765957447,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHAvin,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8449848024316109,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nHother,Atom type electrotopological state,Summary.Descriptor type,False,False,0.16666666666666666,integer_count_like,True,False,False,False,block_X_local_electronic_atom_environment
nHmisc,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsLi,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssBe,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssssBem,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsBH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssBH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsssB,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssssBm,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsCH3,Atom type electrotopological state,Summary.Descriptor type,False,True,0.36423505572441744,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
ndCH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9766970618034447,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssCH2,Atom type electrotopological state,Summary.Descriptor type,False,False,0.2548125633232016,integer_count_like,True,False,False,False,block_X_local_electronic_atom_environment
ntCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9913880445795339,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
ndsCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7781155015197568,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
naaCH,Atom type electrotopological state,Summary.Descriptor type,False,False,0.20516717325227962,integer_count_like,True,False,False,False,block_X_local_electronic_atom_environment
nsssCH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6063829787234043,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nddC,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
ntsC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9483282674772037,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
ndssC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.38247213779128675,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
naasC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.24113475177304963,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
naaaC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.6448834853090172,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nssssC,Atom type electrotopological state,Summary.Descriptor type,False,True,0.779128672745694,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nsNH3p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsNH2,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9746707193515705,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nssNH2p,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
ndNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9924012158054711,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nssNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8302938196555217,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
naaNH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9275582573454914,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
ntN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9599797365754813,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nsssNHp,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
ndsN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9371833839918946,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
naaN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.7583586626139818,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nsssN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.5536980749746707,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nddsN,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
naasN,Atom type electrotopological state,Summary.Descriptor type,False,True,0.903242147922999,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nssssNp,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9994934143870314,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsOH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.42907801418439717,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
ndO,Atom type electrotopological state,Summary.Descriptor type,False,True,0.46808510638297873,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nssO,Atom type electrotopological state,Summary.Descriptor type,False,True,0.47315096251266464,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
naaO,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8556231003039514,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
naOm,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsOm,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9908814589665653,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nsF,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8348530901722391,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nsSiH3,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssSiH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsssSiH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssssSi,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsPH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssPH,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsssP,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
ndsssP,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9989868287740629,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nddsP,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsssssP,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsSH,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9994934143870314,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
ndS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9832826747720365,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.8880445795339412,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
naaS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9052684903748733,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
ndssS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9994934143870314,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nddssS,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9376899696048632,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssssssS,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nSm,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nsCl,Atom type electrotopological state,Summary.Descriptor type,False,True,0.9123606889564336,integer_low_cardinality,True,False,True,False,block_X_local_electronic_atom_environment
nsGeH3,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
nssGeH2,Atom type electrotopological state,Summary.Descriptor type,True,False,1.0,binary_like,True,True,True,False,block_X_local_electronic_atom_environment
