descriptor,PC1_weight,PC1_corr_loading,component,abs_weight,abs_corr_loading,PC2_weight,PC2_corr_loading,PC3_weight,PC3_corr_loading,PC4_weight,PC4_corr_loading,PC5_weight,PC5_corr_loading,PC6_weight,PC6_corr_loading,PC7_weight,PC7_corr_loading,PC8_weight,PC8_corr_loading,PC9_weight,PC9_corr_loading,PC10_weight,PC10_corr_loading,descriptor_category,descriptor_numeric_type,is_binary_like,is_rare_binary_like,is_near_constant,dominant_value_ratio
VP-1,0.09648744027904313,0.945709231183185,PC1,0.09648744027904313,0.945709231183185,,,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0045592705167173
nBonds,0.0963138511827698,0.9440078199911822,PC1,0.0963138511827698,0.9440078199911822,,,,,,,,,,,,,,,,,,,Bond count,integer_count_like,False,False,False,0.0678824721377912
nAtom,0.09627184463163924,0.9435960981851176,PC1,0.09627184463163924,0.9435960981851176,,,,,,,,,,,,,,,,,,,Atom count,integer_count_like,False,False,False,0.0430597771023302
nBonds2,0.09620862186006578,0.942976428324199,PC1,0.09620862186006578,0.942976428324199,,,,,,,,,,,,,,,,,,,Bond count,integer_count_like,False,False,False,0.0450861195542046
Zagreb,0.09605019923065457,0.9414236693057276,PC1,0.09605019923065457,0.9414236693057276,,,,,,,,,,,,,,,,,,,Zagreb index,integer_count_like,False,False,False,0.0349544072948328
CrippenMR,0.09589495927714856,0.939902104875638,PC1,0.09589495927714856,0.939902104875638,,,,,,,,,,,,,,,,,,,Crippen logP and MR,continuous_float_like,False,False,False,0.0040526849037487
MLFER_L,0.09556462051698758,0.9366643320214881,PC1,0.09556462051698758,0.9366643320214881,,,,,,,,,,,,,,,,,,,Molecular linear free energy relation,continuous_float_like,False,False,False,0.0040526849037487
VP-2,0.09514951780987768,0.9325957562476086,PC1,0.09514951780987768,0.9325957562476086,,,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0035460992907801
ECCEN,0.0948155168182918,0.9293220885033553,PC1,0.0948155168182918,0.9293220885033553,,,,,,,,,,,,,,,,,,,Eccentric connectivity index,integer_count_like,False,False,False,0.0106382978723404
ATSp1,0.09416847426455831,0.922980184165708,PC1,0.09416847426455831,0.922980184165708,,,,,,,,,,,,,,,,,,,Autocorrelation (polarizability),continuous_float_like,False,False,False,0.0030395136778115
ETA_Eta_L,0.09406022052306785,0.9219191490471325,PC1,0.09406022052306785,0.9219191490471325,,,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0045592705167173
nBondsS,0.09400397878803375,0.9213679029176276,PC1,0.09400397878803375,0.9213679029176276,,,,,,,,,,,,,,,,,,,Bond count,integer_count_like,False,False,False,0.0552178318135764
WPOL,0.09386316218680207,0.9199877071190503,PC1,0.09386316218680207,0.9199877071190503,,,,,,,,,,,,,,,,,,,Wiener numbers,integer_count_like,False,False,False,0.0415400202634245
SP-3,0.09365829223024849,0.9179797005998129,PC1,0.09365829223024849,0.9179797005998129,,,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0055724417426545
ETA_dEpsilon_A,,,PC2,0.11452828248218364,0.8017019892313693,0.11452828248218364,0.8017019892313693,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0106382978723404
ETA_Epsilon_1,,,PC2,0.11223199010632791,0.7856278621626543,0.11223199010632791,0.7856278621626543,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0136778115501519
ETA_Epsilon_2,,,PC2,0.11061383889451402,0.7743007469971039,0.11061383889451402,0.7743007469971039,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0151975683890577
ETA_dEpsilon_C,,,PC2,0.10754457976694967,0.7528158255898734,-0.10754457976694967,-0.7528158255898734,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.011144883485309
ETA_dPsi_A,,,PC2,0.10574898329107282,0.7402465873600834,0.10574898329107282,0.7402465873600834,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0157041540020263
ETA_Psi_1,,,PC2,0.10541058069756842,0.7378777573515155,-0.10541058069756842,-0.7378777573515155,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0157041540020263
ETA_Epsilon_4,,,PC2,0.10475319765242691,0.7332760530077965,0.10475319765242691,0.7332760530077965,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.011144883485309
maxssCH2,,,PC2,0.10024483322657823,0.7017173441015906,-0.10024483322657823,-0.7017173441015906,,,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.2649442755825734
ETA_EtaP_L,,,PC2,0.09982131624077593,0.6987527103654326,-0.09982131624077593,-0.6987527103654326,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0045592705167173
SssCH2,,,PC2,0.09816184391694831,0.6871363459683333,-0.09816184391694831,-0.6871363459683333,,,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.2548125633232016
ETA_EtaP_F_L,,,PC2,0.09293870360799851,0.6505741808422547,0.09293870360799851,0.6505741808422547,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0045592705167173
ETA_dEpsilon_B,,,PC2,0.09284037628320507,0.6498858861243554,0.09284037628320507,0.6498858861243554,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0106382978723404
ETA_EtaP_F,,,PC2,0.09252871600391209,0.6477042532520345,0.09252871600391209,0.6477042532520345,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0030395136778115
minssCH2,,,PC2,0.09242383152335501,0.6469700582140949,-0.09242383152335501,-0.6469700582140949,,,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.2548125633232016
minwHBa,,,PC2,0.09150910027346189,0.6405669074223648,-0.09150910027346189,-0.6405669074223648,,,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0030395136778115
VPC-6,,,PC2,0.0908967463625672,0.6362804085957157,-0.0908967463625672,-0.6362804085957157,,,,,,,,,,,,,,,,,Chi path cluster,continuous_float_like,False,False,False,0.0045592705167173
HybRatio,,,PC2,0.0892404753367428,0.6246864533967786,-0.0892404753367428,-0.6246864533967786,,,,,,,,,,,,,,,,,HybridizationRatioDescriptor,continuous_float_like,False,False,False,0.1357649442755825
VPC-5,,,PC2,0.08901833473442726,0.623131461399119,-0.08901833473442726,-0.623131461399119,,,,,,,,,,,,,,,,,Chi path cluster,continuous_float_like,False,False,False,0.0045592705167173
nHBAcc2,,,PC2,0.08846641364642234,0.6192679944496248,0.08846641364642234,0.6192679944496248,,,,,,,,,,,,,,,,,Hbond acceptor count,integer_low_cardinality,False,False,True,0.2360688956433637
SsssCH,,,PC2,0.08808442235187804,0.6165940420068933,-0.08808442235187804,-0.6165940420068933,,,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.6063829787234043
VP-7,,,PC2,0.08755127599315139,0.6128619988200128,-0.08755127599315139,-0.6128619988200128,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0030395136778115
VP-6,,,PC2,0.08687488993322941,0.6081272727071668,-0.08687488993322941,-0.6081272727071668,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0030395136778115
LipoaffinityIndex,,,PC2,0.08541364451407887,0.5978985035865747,-0.08541364451407887,-0.5978985035865747,,,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0030395136778115
ETA_Epsilon_5,,,PC2,0.08489309966295173,0.5942546713943153,0.08489309966295173,0.5942546713943153,,,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0141843971631205
SHBd,,,PC2,0.08476918284108269,0.5933872493005007,0.08476918284108269,0.5933872493005007,,,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0633232016210739
nHBAcc3,,,PC2,0.08475654107856145,0.5932987565200195,0.08475654107856145,0.5932987565200195,,,,,,,,,,,,,,,,,Hbond acceptor count,integer_low_cardinality,False,False,True,0.270516717325228
VP-5,,,PC2,0.08470411376807396,0.5929317635101093,-0.08470411376807396,-0.5929317635101093,,,,,,,,,,,,,,,,,Chi path,continuous_float_like,False,False,False,0.0030395136778115
TopoPSA,,,PC2,0.08466114722167402,0.5926309961802179,0.08466114722167402,0.5926309961802179,,,,,,,,,,,,,,,,,Topological polar surface area,continuous_float_like,False,False,False,0.0531914893617021
SHBa,,,PC2,0.08460546678702151,0.5922412311871998,0.08460546678702151,0.5922412311871998,,,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0030395136778115
SdssC,,,PC2,0.08307218182562603,0.5815081827473908,-0.08307218182562603,-0.5815081827473908,,,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.3824721377912867
C2SP2,,,PC3,0.14148157080265256,0.8932474895362313,,,-0.14148157080265256,-0.8932474895362313,,,,,,,,,,,,,,,Carbon types,integer_count_like,False,False,False,0.1494427558257345
naAromAtom,,,PC3,0.14075060261506717,0.8886325033243361,,,-0.14075060261506717,-0.8886325033243361,,,,,,,,,,,,,,,Aromatic atoms count,integer_count_like,False,False,False,0.2806484295845998
SHaaCH,,,PC3,0.1383605984855436,0.8735431515694285,,,-0.1383605984855436,-0.8735431515694285,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0288753799392097
SHother,,,PC3,0.13487603005028426,0.8515432402788317,,,-0.13487603005028426,-0.8515432402788317,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0060790273556231
nAromBond,,,PC3,0.13486695533462967,0.8514859468311401,,,-0.13486695533462967,-0.8514859468311401,,,,,,,,,,,,,,,Aromatic bonds count,integer_count_like,False,False,False,0.3297872340425531
nHaaCH,,,PC3,0.13349468174533127,0.8428220626825248,,,-0.13349468174533127,-0.8428220626825248,,,,,,,,,,,,,,,Atom type electrotopological state,integer_count_like,False,False,False,0.2051671732522796
naaCH,,,PC3,0.13349468174533125,0.8428220626825248,,,-0.13349468174533125,-0.8428220626825248,,,,,,,,,,,,,,,Atom type electrotopological state,integer_count_like,False,False,False,0.2051671732522796
nwHBa,,,PC3,0.130297844262985,0.8226387480687486,,,-0.130297844262985,-0.8226387480687486,,,,,,,,,,,,,,,Atom type electrotopological state,integer_count_like,False,False,False,0.1236068895643363
nHother,,,PC3,0.12949391315034772,0.8175631085769811,,,-0.12949391315034772,-0.8175631085769811,,,,,,,,,,,,,,,Atom type electrotopological state,integer_count_like,False,False,False,0.1666666666666666
nBondsM,,,PC3,0.12625532545301613,0.7971162029208406,,,-0.12625532545301613,-0.7971162029208406,,,,,,,,,,,,,,,Bond count,integer_count_like,False,False,False,0.1752786220871327
SaaCH,,,PC3,0.12403957227508221,0.7831269889730954,,,-0.12403957227508221,-0.7831269889730954,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0288753799392097
ETA_Beta_ns,,,PC3,0.12354838732367697,0.7800258803110158,,,-0.12354838732367697,-0.7800258803110158,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0633232016210739
SwHBa,,,PC3,0.11379852857257584,0.7184698995331251,,,-0.11379852857257584,-0.7184698995331251,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0030395136778115
naasC,,,PC3,0.11223275824575135,0.7085843688191836,,,-0.11223275824575135,-0.7085843688191836,,,,,,,,,,,,,,,Atom type electrotopological state,integer_low_cardinality,False,False,True,0.2411347517730496
nBondsD,,,PC3,0.11007308067292612,0.6949491896280737,,,-0.11007308067292612,-0.6949491896280737,,,,,,,,,,,,,,,Bond count,integer_low_cardinality,False,False,True,0.171225937183384
ETA_Eta_F_L,,,PC3,0.10534551053052937,0.6651015554991543,,,-0.10534551053052937,-0.6651015554991543,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0050658561296859
ETA_EtaP_F,,,PC3,0.10270685673036128,0.6484423477353173,,,-0.10270685673036128,-0.6484423477353173,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0030395136778115
MDEC-23,,,PC3,0.0991854925981141,0.6262101258775314,,,-0.0991854925981141,-0.6262101258775314,,,,,,,,,,,,,,,Molecular distance edge,continuous_float_like,False,False,False,0.0060790273556231
C4SP3,,,PC3,0.09725934423489352,0.6140493392806604,,,0.09725934423489352,0.6140493392806604,,,,,,,,,,,,,,,Carbon types,integer_low_cardinality,False,False,True,0.8632218844984803
ETA_Beta,,,PC3,0.09408415813395492,0.5940027212131394,,,-0.09408415813395492,-0.5940027212131394,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0217831813576494
ETA_dBeta,,,PC3,0.09133164117621928,0.5766246355129685,,,-0.09133164117621928,-0.5766246355129685,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0329280648429584
n6Ring,,,PC3,0.09002096188666761,0.5683496285397127,,,-0.09002096188666761,-0.5683496285397127,,,,,,,,,,,,,,,Ring count,integer_low_cardinality,False,False,True,0.3703140830800405
nT6Ring,,,PC3,0.09000609722373853,0.5682557801128908,,,-0.09000609722373853,-0.5682557801128908,,,,,,,,,,,,,,,RingCountDescriptor,integer_low_cardinality,False,False,True,0.3632218844984802
VC-4,,,PC3,0.08844367417936909,0.5583913825517172,,,0.08844367417936909,0.5583913825517172,,,,,,,,,,,,,,,Chi cluster,continuous_float_like,False,False,False,0.7223910840932117
ETA_EtaP_F_L,,,PC3,0.08827737144803925,0.5573414260349732,,,-0.08827737144803925,-0.5573414260349732,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0045592705167173
maxHaaCH,,,PC3,0.08796575239062458,0.5553740112038535,,,-0.08796575239062458,-0.5553740112038535,,,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0288753799392097
CrippenLogP,,,PC3,0.08790457163106567,0.554987744924975,,,-0.08790457163106567,-0.554987744924975,,,,,,,,,,,,,,,Crippen logP and MR,continuous_float_like,False,False,False,0.0040526849037487
ETA_Shape_P,,,PC3,0.08481093052205986,0.5354559632344806,,,0.08481093052205986,0.5354559632344806,,,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0070921985815602
nRing,,,PC3,0.08433446773094569,0.5324478033052009,,,-0.08433446773094569,-0.5324478033052009,,,,,,,,,,,,,,,Ring count,integer_low_cardinality,False,False,True,0.3115501519756838
MLFER_E,,,PC3,0.08422220108921914,0.5317390050121651,,,-0.08422220108921914,-0.5317390050121651,,,,,,,,,,,,,,,Molecular linear free energy relation,continuous_float_like,False,False,False,0.0075987841945288
ETA_EtaP_B_RC,,,PC4,0.12271216220907025,0.6264131247051723,,,,,-0.12271216220907025,-0.6264131247051723,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0126646403242147
ETA_EtaP_B,,,PC4,0.1150338699556045,0.5872174740352852,,,,,-0.1150338699556045,-0.5872174740352852,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.0131712259371833
MAXDN2,,,PC4,0.11321566930619538,0.5779360407231057,,,,,-0.11321566930619538,-0.5779360407231057,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0035460992907801
minaasC,,,PC4,0.11115207291738322,0.5674019270804459,,,,,0.11115207291738322,0.5674019270804459,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0268490374873353
SC-4,,,PC4,0.10692581662004544,0.5458280067341547,,,,,-0.10692581662004544,-0.5458280067341547,,,,,,,,,,,,,Chi cluster,continuous_float_like,False,False,False,0.7223910840932117
SC-5,,,PC4,0.10438996101070178,0.5328831347063618,,,,,-0.10438996101070178,-0.5328831347063618,,,,,,,,,,,,,Chi cluster,continuous_float_like,False,False,False,0.0354609929078014
minaaCH,,,PC4,0.10118230110585762,0.5165088794751488,,,,,0.10118230110585762,0.5165088794751488,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0288753799392097
SsF,,,PC4,0.1009308297906811,0.5152251849376458,,,,,-0.1009308297906811,-0.5152251849376458,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.8348530901722391
MAXDN,,,PC4,0.10084539860680755,0.514789081344701,,,,,-0.10084539860680755,-0.514789081344701,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0035460992907801
nF,,,PC4,0.10043222777519138,0.5126799535532047,,,,,-0.10043222777519138,-0.5126799535532047,,,,,,,,,,,,,Atom count,integer_low_cardinality,False,False,True,0.8348530901722391
nsF,,,PC4,0.10043222777519138,0.5126799535532047,,,,,-0.10043222777519138,-0.5126799535532047,,,,,,,,,,,,,Atom type electrotopological state,integer_low_cardinality,False,False,True,0.8348530901722391
WTPT-5,,,PC4,0.10040094260659048,0.5125202510439484,,,,,0.10040094260659048,0.5125202510439484,,,,,,,,,,,,,Weighted path,continuous_float_like,False,False,False,0.2492401215805471
nN,,,PC4,0.0992390017367825,0.5065888502938021,,,,,0.0992390017367825,0.5065888502938021,,,,,,,,,,,,,Atom count,integer_low_cardinality,False,False,True,0.3799392097264438
SPC-6,,,PC4,0.09814636306989775,0.501011218955759,,,,,-0.09814636306989775,-0.501011218955759,,,,,,,,,,,,,Chi path cluster,continuous_float_like,False,False,False,0.0055724417426545
SC-6,,,PC4,0.0980035269856127,0.5002820785326164,,,,,-0.0980035269856127,-0.5002820785326164,,,,,,,,,,,,,Chi cluster,continuous_float_like,False,False,False,0.7477203647416414
nHdsCH,,,PC4,0.09724545902018303,0.49641234211517216,,,,,-0.09724545902018303,-0.49641234211517216,,,,,,,,,,,,,Atom type electrotopological state,integer_low_cardinality,False,False,True,0.7781155015197568
ndsCH,,,PC4,0.09724545902018301,0.49641234211517216,,,,,-0.09724545902018301,-0.49641234211517216,,,,,,,,,,,,,Atom type electrotopological state,integer_low_cardinality,False,False,True,0.7781155015197568
maxHBa,,,PC4,0.09695121054786117,0.49491028150709243,,,,,-0.09695121054786117,-0.49491028150709243,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0030395136778115
gmax,,,PC4,0.09576065651671548,0.4888328181378978,,,,,-0.09576065651671548,-0.4888328181378978,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.0030395136778115
ETA_Shape_X,,,PC4,0.09564027949947879,0.48821832531051634,,,,,-0.09564027949947879,-0.48821832531051634,,,,,,,,,,,,,Extended topochemical atom,continuous_float_like,False,False,False,0.7223910840932117
SPC-5,,,PC4,0.09462727252502066,0.4830471926958265,,,,,-0.09462727252502066,-0.4830471926958265,,,,,,,,,,,,,Chi path cluster,continuous_float_like,False,False,False,0.0081053698074974
nssssC,,,PC4,0.09458808194484536,0.4828471351518572,,,,,-0.09458808194484536,-0.4828471351518572,,,,,,,,,,,,,Atom type electrotopological state,integer_low_cardinality,False,False,True,0.779128672745694
SsOH,,,PC4,0.09372698756954013,0.4784514761675176,,,,,-0.09372698756954013,-0.4784514761675176,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.21580547112462
nsOH,,,PC4,0.09368036965912081,0.4782135040675457,,,,,-0.09368036965912081,-0.4782135040675457,,,,,,,,,,,,,Atom type electrotopological state,integer_low_cardinality,False,False,True,0.4290780141843971
nHsOH,,,PC4,0.0936803696591208,0.4782135040675457,,,,,-0.0936803696591208,-0.4782135040675457,,,,,,,,,,,,,Atom type electrotopological state,integer_low_cardinality,False,False,True,0.4290780141843971
SHdsCH,,,PC4,0.09208511949518004,0.47007017400237144,,,,,-0.09208511949518004,-0.47007017400237144,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.7781155015197568
maxdsCH,,,PC4,0.09173611212415231,0.4682885837028045,,,,,-0.09173611212415231,-0.4682885837028045,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.7781155015197568
SdsCH,,,PC4,0.09039762442753754,0.46145595810708284,,,,,-0.09039762442753754,-0.46145595810708284,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.7781155015197568
BCUTp-1l,,,PC4,0.08843976768741427,0.4514616173976737,,,,,0.08843976768741427,0.4514616173976737,,,,,,,,,,,,,BCUT,continuous_float_like,False,False,False,0.0030395136778115
maxHdsCH,,,PC4,0.08819099567966322,0.45019170211047604,,,,,-0.08819099567966322,-0.45019170211047604,,,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.7781155015197568
nT5Ring,,,PC5,0.1543333517217504,0.7117146649446204,,,,,,,-0.1543333517217504,-0.7117146649446204,,,,,,,,,,,RingCountDescriptor,integer_low_cardinality,False,False,True,0.4356636271529888
n5Ring,,,PC5,0.1543333517217504,0.7117146649446204,,,,,,,-0.1543333517217504,-0.7117146649446204,,,,,,,,,,,Ring count,integer_low_cardinality,False,False,True,0.4356636271529888
SCH-5,,,PC5,0.13890784650745858,0.6405793066263188,,,,,,,-0.13890784650745858,-0.6405793066263188,,,,,,,,,,,Chi chain,continuous_float_like,False,False,False,0.4265450861195542
minsOH,,,PC5,0.1321212842784455,0.6092827928847133,,,,,,,0.1321212842784455,0.6092827928847133,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.21580547112462
maxsOH,,,PC5,0.1312941393715986,0.6054683797739379,,,,,,,0.1312941393715986,0.6054683797739379,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.21580547112462
nF9Ring,,,PC5,0.12721363189085963,0.5866509499568623,,,,,,,-0.12721363189085963,-0.5866509499568623,,,,,,,,,,,Ring count,integer_low_cardinality,False,False,True,0.6058763931104356
nT9Ring,,,PC5,0.1272136318908596,0.5866509499568623,,,,,,,-0.1272136318908596,-0.5866509499568623,,,,,,,,,,,RingCountDescriptor,integer_low_cardinality,False,False,True,0.6058763931104356
minHsOH,,,PC5,0.12384832447935029,0.571131694979907,,,,,,,0.12384832447935029,0.571131694979907,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.21580547112462
maxHaaNH,,,PC5,0.12208267457693812,0.5629893270815511,,,,,,,-0.12208267457693812,-0.5629893270815511,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.9275582573454914
SCH-6,,,PC5,0.12205632842376252,0.5628678307013407,,,,,,,-0.12205632842376252,-0.5628678307013407,,,,,,,,,,,Chi chain,continuous_float_like,False,False,False,0.0243161094224924
maxHsOH,,,PC5,0.12191662485261753,0.5622235818774811,,,,,,,0.12191662485261753,0.5622235818774811,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.21580547112462
minHaaNH,,,PC5,0.1218863206168991,0.5620838326351424,,,,,,,-0.1218863206168991,-0.5620838326351424,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.9275582573454914
SHaaNH,,,PC5,0.12128552078464341,0.5593132192418461,,,,,,,-0.12128552078464341,-0.5593132192418461,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.9275582573454914
nsOH,,,PC5,0.11998333755999005,0.553308147187805,,,,,,,0.11998333755999005,0.553308147187805,,,,,,,,,,,Atom type electrotopological state,integer_low_cardinality,False,False,True,0.4290780141843971
nHsOH,,,PC5,0.11998333755999002,0.553308147187805,,,,,,,0.11998333755999002,0.553308147187805,,,,,,,,,,,Atom type electrotopological state,integer_low_cardinality,False,False,True,0.4290780141843971
SsOH,,,PC5,0.11973746262771912,0.5521742847200545,,,,,,,0.11973746262771912,0.5521742847200545,,,,,,,,,,,Atom type electrotopological state,continuous_float_like,False,False,False,0.21580547112462
SCH-7,,,PC5,0.11614377004490622,0.5356018220348536,,,,,,,-0.11614377004490622,-0.5356018220348536,,,,,,,,,,,Chi chain,continuous_float_like,False,False,False,0.0162107396149949
